OriginalVariableNames,reliability,reliabilityAR(1)
Mean,0.185171466656558,0.102418146787057
TimecourseLow,0.0706976667298042,0.0121778804860908
TimecourseUp,0.297153144606205,0.191637237451367
SampleLow,-0.0443522711213575,-0.0406646840010206
SampleUp,0.469557838616807,0.289998095095023
SampleSTD,0.14114202567441,0.0859978481143663
SampleMeanLow,0.17825682225231,0.0980678392156216
SampleMeanUp,0.191671950586669,0.106345053882494
PosTimecourseSum,65.8823529411765,51.2941176470588
PosTimecourseLow,0.145591016164166,0.0779995302330049
PosTimecourseUp,0.357816514300094,0.251177068805817
NegTimecourseSum,0.294117647058824,0.529411764705882
NegTimecourseLow,-0.226126334287541,-0.197276624581876
NegTimecourseUp,-0.0414795834653527,-0.0220575367193455
MixTimecourseSum,33.8235294117647,48.1764705882353
MixTimecourseLow,-0.074110055764272,-0.0556829214805905
MixTimecourseUp,0.175170089658723,0.129002523175975
ZeroMean,0.187937965437442,0.105363099819379
ZeroSampleLow,0,0
ZeroSampleUp,0.469557838616807,0.289998095095023
ZeroSampleSTD,0.136501970366857,0.0812925887547678
ZeroSampleMeanLow,0.180917506065309,0.101644443420529
ZeroSampleMeanUp,0.194758711168924,0.108868344285081
corrupt,6.23529411764706,9.41176470588235
NoZeroMean,0.200109743015983,0.116215717449983
NoZeroTimecourseLow,0.086449265120653,0.0262879484349865
NoZeroTimecourseUp,0.31082059653029,0.204835971114403
NoZeroSampleLow,0.0173508798860175,0.00926919748556202
NoZeroSampleUp,0.472617902409143,0.295018117516776
NoZeroSampSTD,0.131728458356222,0.0775886546002786
NoZeroSampleMeanLow,0.194191918385429,0.113122981152171
NoZeroSampleMeanUp,0.206578334003605,0.1197530729811
